"ID","KUNDNR","TYP","EFTERNAMN","EPOST","FORNAMN","TELNR","BESKRIVNING","BEFATTNING","MOBILNR"
28,20215732,"F","Stefanie Lindroth, metall","stefanie@metall.se","(null)","(null)","(null)","(null)","(null)"
29,20213961,"A","Personalchef Per Ek","(null)","(null)","(null)","(null)","(null)","(null)"
30,20213961,"F","Nisse Hult CF","(null)","(null)","(null)","(null)","(null)","(null)"
31,20213961,"F","Pia Johansson SIF","(null)","(null)","(null)","(null)","(null)","(null)"
32,20213961,"F","Siv Persson Metall","(null)","(null)","(null)","(null)","(null)","(null)"
33,20215704,"A","Vd Bo-Göran Bengtsson      0380-15893","(null)","(null)","(null)","(null)","(null)","(null)"
34,20215704,"F","Kent Nilsson","(null)","(null)","(null)","(null)","(null)","(null)"
35,20213962,"A","Personalchef Per Ek","per.ek@svenssonochson.se","(null)","(null)","(null)","(null)","(null)"
36,20213962,"F","Nisse Hult, CF telefon: 0371-11111","(null)","(null)","(null)","(null)","(null)","(null)"
37,20213962,"F","Pia Johansson, SIF telefon: 0371-22222","(null)","(null)","(null)","(null)","(null)","(null)"
38,20213962,"F","Siv Persson, Metall telefon: 0371-33333","(null)","(null)","(null)","(null)","(null)","(null)"
39,20213960,"A","Max Maxon","max@hotmail.com","(null)","(null)","(null)","(null)","(null)"
40,20213960,"F","Nisse Hult","nisse@hotmail.com","(null)","(null)","(null)","(null)","(null)"
41,20214018,"A","Lena Larsson","lena@hotmail.com","(null)","(null)","(null)","(null)","(null)"
42,20214018,"F","Pelle Larsson","pelle@hotmail.com","(null)","(null)","(null)","(null)","(null)"
43,20215056,"A","Anders Chef","(null)","(null)","(null)","(null)","(null)","(null)"
44,20215388,"A","Per Ek (personalchef) 0999-199999","perek@elektroab.se","(null)","(null)","(null)","(null)","(null)"
45,20215388,"F","Nisse Hult CF    0999-13333","(null)","(null)","(null)","(null)","(null)","(null)"
46,20215388,"F","Pia Johansson SIF 0999-12222","(null)","(null)","(null)","(null)","(null)","(null)"
47,20215388,"F","Siv Persson Metall 0999-14444","(null)","(null)","(null)","(null)","(null)","(null)"
48,20213964,"A","Personalchef Per Ek","per.ek@naturacreative.com","(null)","(null)","(null)","(null)","(null)"
49,20213964,"F","Nisse Hult CF","(null)","(null)","(null)","(null)","(null)","(null)"
50,20213964,"F","Pia Johansson SIF","(null)","(null)","(null)","(null)","(null)","(null)"
51,20213964,"F","Siv Persson Metall","(null)","(null)","(null)","(null)","(null)","(null)"
52,20215716,"A","Verkstadschef Arne Andersson","a.a@vimmerbybil.se","(null)","(null)","(null)","(null)","(null)"
53,20215716,"F","Facklig repr Inga Nilsson, Metall","i.n@vimmerbybil.se","(null)","(null)","(null)","(null)","(null)"
54,20213762,"A","Baby Sitter","(null)","(null)","(null)","(null)","(null)","(null)"
55,20213764,"A","Johanna Skötare 0498-323232","(null)","(null)","(null)","(null)","(null)","(null)"
56,20212812,"A","Pia Oskarsson Tel:040-239705","(null)","(null)","(null)","(null)","(null)","(null)"
57,20212812,"A","Ekonomichef Hugo Andersson Tel:040-239702","(null)","(null)","(null)","(null)","(null)","(null)"
58,20212816,"A","Rektor Lisa Steen Tel: 040-341121","(null)","(null)","(null)","(null)","(null)","(null)"
59,20212816,"A","Studierektor Halvar Halvordsen Tel: 040-341124","(null)","(null)","(null)","(null)","(null)","(null)"
60,20212816,"F","Alfhild Nilsson SKAF Tel: 040-341126","(null)","(null)","(null)","(null)","(null)","(null)"
61,20212816,"F","Bo Larsson Lärarförbundet Tel: 040-341127","(null)","(null)","(null)","(null)","(null)","(null)"
62,20212817,"A","Köksmästare Karl Eksand, 040-789456","(null)","(null)","(null)","(null)","(null)","(null)"
63,20212817,"A","Sommelier Anders Eksand","(null)","(null)","(null)","(null)","(null)","(null)"
64,20212822,"A","Pia Piff Tel: 040-342143","(null)","(null)","(null)","(null)","(null)","(null)"
65,20212833,"A","Rektor Ängel Holm Tel: 040- 207144","(null)","(null)","(null)","(null)","(null)","(null)"
66,20212833,"A","Studierektor Alvar Frisk Tel: 040-207136","(null)","(null)","(null)","(null)","(null)","(null)"
67,20212835,"A","Personalchef Bo Frisk Tel: 040-12883","(null)","(null)","(null)","(null)","(null)","(null)"
68,20212835,"F","Anna-Lisa Pålsson Försäkringsanställdas Förbund 040-12886","(null)","(null)","(null)","(null)","(null)","(null)"
69,20212846,"A","Isak Isaksson Tel: 040-241000","(null)","(null)","(null)","(null)","(null)","(null)"
70,20212847,"A","Rektor Emma Hartman, tel 040-341890","(null)","(null)","(null)","(null)","(null)","(null)"
71,20212847,"A","Studierektor Victoria Lindelöv, tel. 040-341891","(null)","(null)","(null)","(null)","(null)","(null)"
72,20212847,"F","Patrik Hammar, Lärarf. tel. 040-341910","(null)","(null)","(null)","(null)","(null)","(null)"
73,20212848,"A","Alicia Rosenblad","(null)","(null)","(null)","(null)","(null)","(null)"
74,20212848,"F","Asta Ringblom, Handels","(null)","(null)","(null)","(null)","(null)","(null)"
75,20212851,"A","Petter Smalsson Tel: 0414-20705","(null)","(null)","(null)","(null)","(null)","(null)"
76,20212856,"A","Personalchef Gunilla Nilsson Tel: 040-89123","(null)","(null)","(null)","(null)","(null)","(null)"
77,20212856,"F","Ritva Vartanen Försäkringsanställdas förbund Tel: 040-89126","(null)","(null)","(null)","(null)","(null)","(null)"
78,20212861,"A","Pers.chef Ture Malling, tel.040-175001","(null)","(null)","(null)","(null)","(null)","(null)"
79,20212861,"A","Pers.sekr. Anna Pia Ersson, tjänstemän, tel 040-175002","(null)","(null)","(null)","(null)","(null)","(null)"
80,20212861,"A","Pers.sekr. Axel Malling, verkstad, produktion. tel 040-175002","(null)","(null)","(null)","(null)","(null)","(null)"
81,20212863,"A","Eliza Erikzon Tel: 040-210001","(null)","(null)","(null)","(null)","(null)","(null)"
82,20212865,"A","Hans Hansson Tel: 040-237680","(null)","(null)","(null)","(null)","(null)","(null)"
83,20212865,"A","Hulda Hansson","(null)","(null)","(null)","(null)","(null)","(null)"
84,20212866,"A","Tore Lund Tel: 040-207144","(null)","(null)","(null)","(null)","(null)","(null)"
85,20212866,"A","Stina Lindblom Tel: 040-207106","(null)","(null)","(null)","(null)","(null)","(null)"
86,20212887,"A","Butikschef Christer Christersson, 040-207104","(null)","(null)","(null)","(null)","(null)","(null)"
87,20212889,"A","Totte Totte Tel: 040-456124","weben@telia.com","(null)","(null)","(null)","(null)","(null)"
88,20212889,"A","Titti Totte Tel: 040-456125","(null)","(null)","(null)","(null)","(null)","(null)"
89,20212889,"F","Karin Stigbjörn CF Tel: 040-456127","(null)","(null)","(null)","(null)","(null)","(null)"
90,20212900,"A","Oskar Listerberg Tel: 040-912347","(null)","(null)","(null)","(null)","(null)","(null)"
91,20212900,"A","Ann-Marie Nilsson Tel: 040-912346","(null)","(null)","(null)","(null)","(null)","(null)"
92,20213007,"A","Personalsekr. Petter Lunderberg","(null)","(null)","(null)","(null)","(null)","(null)"
93,20213011,"A","Personalsekr. Kent Lundin","(null)","(null)","(null)","(null)","(null)","(null)"
94,20213132,"A","Chef anställningsenheten Oskar Roth Tel:040-207144","(null)","(null)","(null)","(null)","(null)","(null)"
95,20214252,"A","Charles Mingus","(null)","(null)","(null)","(null)","(null)","(null)"
96,20214255,"A","Norman Granz, 042-123467","(null)","(null)","(null)","(null)","(null)","(null)"
97,20213776,"A","Bosse Korv  0453-12345","(null)","(null)","(null)","(null)","(null)","(null)"
98,20213247,"A","DFHNYJKUY","(null)","(null)","(null)","(null)","(null)","(null)"
99,20212897,"A","Personalchef Per Ek, telefon 031-7751368","per.ek@connie.co.se","(null)","(null)","(null)","(null)","(null)"
100,20212897,"F","Pia Johansson SIF, telefon 031-556644","pia.johansson@sif.se","(null)","(null)","(null)","(null)","(null)"
101,20212836,"A","Bengt Nilson     031-3655766","(null)","(null)","(null)","(null)","(null)","(null)"
102,20215385,"A","Per Ek                   031-161718","per.ek@swipnet.se","(null)","(null)","(null)","(null)","(null)"
103,20215385,"F","Nisse Hult CF             031-16 17 22","nisse.hult@swipnet.se","(null)","(null)","(null)","(null)","(null)"
104,20215385,"F","Pia Johansson            031-16 17 23","nisse.hult@swipnet.se","(null)","(null)","(null)","(null)","(null)"
105,20215390,"A","Personalchef Per Ek 031- 145200","ksgab@telia.com","(null)","(null)","(null)","(null)","(null)"
106,20215390,"F","Nisse Hult CF 031- 145212","nisseh@telia.com","(null)","(null)","(null)","(null)","(null)"
107,20215390,"F","Pia Johansson SIF 031-145213","pia@telia.com","(null)","(null)","(null)","(null)","(null)"
108,20215390,"F","Siv Persson Metall 031-145214","sivp@telia.com","(null)","(null)","(null)","(null)","(null)"
109,20215393,"A","Per Ek, personalchef, 031-575701","per.ek@markpoint.se","(null)","(null)","(null)","(null)","(null)"
110,20215393,"F","Nisse Hult CF, 031-575732","nisse.hult@markpoint.se","(null)","(null)","(null)","(null)","(null)"
111,20215393,"F","Pia Johansson SIF, 031-575771","pia.johansson@markpoint.se","(null)","(null)","(null)","(null)","(null)"
112,20215393,"F","Siv Persson Metall 031-575734","siv.persson@markpoint.se","(null)","(null)","(null)","(null)","(null)"
113,20215397,"A","Personalchef Per Ek","(null)","(null)","(null)","(null)","(null)","(null)"
114,20215397,"F","Nisse Hult CF","(null)","(null)","(null)","(null)","(null)","(null)"
115,20215397,"F","Pia Johansson SIF","(null)","(null)","(null)","(null)","(null)","(null)"
116,20215397,"F","Siv Persson Metall","(null)","(null)","(null)","(null)","(null)","(null)"
117,20215400,"A","Per Ek, Personalchef  Tel 031-111111","(null)","(null)","(null)","(null)","(null)","(null)"
118,20215400,"F","Nils Hult CF Tel: 031-222222","(null)","(null)","(null)","(null)","(null)","(null)"
119,20215400,"F","Pia Johansson SIF Tel:031 131313","(null)","(null)","(null)","(null)","(null)","(null)"
120,20215400,"F","Siv Persson Metall  Tel: 031 141414","(null)","(null)","(null)","(null)","(null)","(null)"
121,20213815,"A","Vivi","(null)","(null)","(null)","(null)","(null)","(null)"
122,20213815,"F","Kalle","(null)","(null)","(null)","(null)","(null)","(null)"
123,20213924,"A","Per Ek, personalchef   0322-16625","per.ek@elktrokomponenter.nu","(null)","(null)","(null)","(null)","(null)"
124,20213924,"F","Nisse Hult, CF 0322-16630","nils.hult@elktrokomponenter.nu","(null)","(null)","(null)","(null)","(null)"
125,20213924,"F","Pia Johansson SIF 0322-16626","pia.johansson@elktrokomponenter.nu","(null)","(null)","(null)","(null)","(null)"
126,20213924,"F","Siv Persson, Metall 0322-16634","siv.persson@elktrokomponenter.nu","(null)","(null)","(null)","(null)","(null)"
127,20213926,"A","Roger Magnusson","r.transtec@gs.se","(null)","(null)","(null)","(null)","(null)"
128,20213926,"F","Peter Karlsson","p.transtec@gs.se","(null)","(null)","(null)","(null)","(null)"
129,20213955,"A","Bengt-Arne Olander 0322-15510","arne.olander@bilverkstaden.com","(null)","(null)","(null)","(null)","(null)"
130,20213955,"A","Erik Tavastestjerna, verkstadschef 0322-15511","(null)","(null)","(null)","(null)","(null)","(null)"
131,20213972,"A","Sven Berger","s.b@infidata.se","(null)","(null)","(null)","(null)","(null)"
132,20214070,"A","Arne Olander","arne.olander@bilverksaden.com","(null)","(null)","(null)","(null)","(null)"
133,20214070,"F","Janne Svensson","janne.svensson@bilverkstaden.com","(null)","(null)","(null)","(null)","(null)"
134,20214082,"A","Sven Berger, 040-55 66 77","(null)","(null)","(null)","(null)","(null)","(null)"
135,20212969,"A","Alan Pizzano","(null)","(null)","(null)","(null)","(null)","(null)"
136,20212969,"A","0532-44444","(null)","(null)","(null)","(null)","(null)","(null)"
137,20212997,"A","Peter Lundström","(null)","(null)","(null)","(null)","(null)","(null)"
138,20213526,"A","Ylva Strömberg, 0111-16850 ankn. 15.","(null)","(null)","(null)","(null)","(null)","(null)"
139,20213672,"A","Svante Persson tele: 0111-14500","(null)","(null)","(null)","(null)","(null)","(null)"
140,20213710,"A","Rune Lööv tele: 0111-15500","(null)","(null)","(null)","(null)","(null)","(null)"
141,20213816,"A","Anna Andersson tele: 0111-12345","(null)","(null)","(null)","(null)","(null)","(null)"
142,20214191,"A","Stig Persson","stig.persson@ed.se","(null)","(null)","(null)","(null)","(null)"
143,20214191,"F","Lisa Nilsson","lisa.nilsson@kommunal.se","(null)","(null)","(null)","(null)","(null)"
144,20215391,"A","Personalchef Per Ek, tel 031-121213","perek@elektroab.se","(null)","(null)","(null)","(null)","(null)"
145,20215391,"F","Nils Hult CF, tel 031-232346","nilshult@cf.se","(null)","(null)","(null)","(null)","(null)"
146,20215391,"F","Pia Johansson SIF, tel 031-267891","piajohansson@sif.se","(null)","(null)","(null)","(null)","(null)"
147,20215391,"F","Siv Persson Metall, tel 031-412356","sivpersson@metall.se","(null)","(null)","(null)","(null)","(null)"
148,20215392,"A","Personalchef Per Ek  0531-99791","(null)","(null)","(null)","(null)","(null)","(null)"
149,20215392,"F","Nisse Hult CF 0531-99792","(null)","(null)","(null)","(null)","(null)","(null)"
150,20215392,"F","Pia Johansson SIF 0531-99793","(null)","(null)","(null)","(null)","(null)","(null)"
151,20215392,"F","Siv Persson Metall 0531-99794","(null)","(null)","(null)","(null)","(null)","(null)"
152,20215398,"A","Personalchef Per Ek tele 0532-10003","(null)","(null)","(null)","(null)","(null)","(null)"
153,20215398,"F","Nisse Hult CF tele: 0532-10010","(null)","(null)","(null)","(null)","(null)","(null)"
154,20215398,"F","Pia Johansson SIF tele: 0532- 10020","(null)","(null)","(null)","(null)","(null)","(null)"
155,20215398,"F","Siv Persson Metall tele: 0532-10030","(null)","(null)","(null)","(null)","(null)","(null)"
156,20214916,"A","Siv Eriksson, ägare . Arbetar deltid till kl. 15, utom torsdagar","(null)","(null)","(null)","(null)","(null)","(null)"
157,20214916,"F","Åsa Rosén , facklig representant","(null)","(null)","(null)","(null)","(null)","(null)"
158,20213871,"A","Anders Bertilsson","vastgotatransport@telia.com","(null)","(null)","(null)","(null)","(null)"
159,20213928,"A","Anders Bertilsson                    Telefon: 070-112233","(null)","(null)","(null)","(null)","(null)","(null)"
160,20214071,"A","Jacob Rosén, VD                      0510-543008","jacob.rosen@svenskafoder.se","(null)","(null)","(null)","(null)","(null)"
161,20214071,"A","Bo Stjerna, driftansvarig             0510-543007","bo.stierna@svenskafoder.se","(null)","(null)","(null)","(null)","(null)"
162,20214094,"A","Stefan Svensson, underhållschef           0510-89940","(null)","(null)","(null)","(null)","(null)","(null)"
163,20214094,"A","Lennart Olsson, arbetsledare                  0510-89935","(null)","(null)","(null)","(null)","(null)","(null)"
164,20215394,"A","Per Ek","(null)","(null)","(null)","(null)","(null)","(null)"
165,20215394,"F","Nisse Hult CF","(null)","(null)","(null)","(null)","(null)","(null)"
166,20215394,"F","Pia Johansson SIF","(null)","(null)","(null)","(null)","(null)","(null)"
167,20215394,"F","Siv Persson Metall","(null)","(null)","(null)","(null)","(null)","(null)"
168,20215676,"A","Per Ek tel 0528-30069","(null)","(null)","(null)","(null)","(null)","(null)"
169,20215676,"F","Nisse Hult CF, Pia Johansson SIF tel 0524-31045","(null)","(null)","(null)","(null)","(null)","(null)"
170,20215676,"F","Siv Persson Metall te 0522-12345","(null)","(null)","(null)","(null)","(null)","(null)"
171,20214292,"A","Erik Tavastjerna","(null)","(null)","(null)","(null)","(null)","(null)"
172,20214292,"F","Janne Svensson, metall","(null)","(null)","(null)","(null)","(null)","(null)"
173,20212767,"A","ulf Kallin","ulf.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
174,20212771,"A","Pelle Kallin","pelle.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
175,20212773,"A","Sture Kallin","sture.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
176,20212774,"A","Ulla Johansson","ulla.johansson@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
177,20212775,"A","Holger Kallin","holger.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
178,20212776,"A","Helmersson","stiggeh@firman.se","Stig Helmer","(null)","(null)","(null)","(null)"
179,20212779,"A","Marcus Kallin","marcus.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
180,20212782,"A","Kraften","kraften@kraften.se","(null)","(null)","(null)","(null)","(null)"
181,20212788,"A","Inga Lill Kallin","ingalill.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
182,20213265,"A","Karin","godis@hotmail.com","(null)","(null)","(null)","(null)","(null)"
183,20228699,"A","Kalle Veterinär","(null)","(null)","(null)","(null)","(null)","(null)"
184,20228813,"A","Kapten Kirk","kirk@space.se","(null)","(null)","(null)","(null)","(null)"
185,20228813,"F","Spock","spock@space.se","(null)","(null)","(null)","(null)","(null)"
186,20229191,"A","Kalle Test","(null)","(null)","(null)","(null)","(null)","(null)"
187,20229211,"A","Ulf Kallin","uffe.kallin@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
188,20229211,"F","Huvudskyddsombud Kurt Rejnö","kurt.rejno@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
189,20229275,"A","Ulla Johansson","a.b@ams.se","(null)","(null)","(null)","(null)","(null)"
190,20200123,"A","John Inge","(null)","(null)","(null)","(null)","(null)","(null)"
191,20200125,"A","D","fub@dresten.de","(null)","(null)","(null)","(null)","(null)"
192,20200128,"A","NederAG","neder@shraven.nl","(null)","(null)","(null)","(null)","(null)"
193,20200130,"A","Chefsosten","(null)","(null)","(null)","(null)","(null)","(null)"
194,20200132,"A","Marocken himself","Maroc@svg.mo","(null)","(null)","(null)","(null)","(null)"
195,20200133,"A","Chefskorven himself","kk@spray.se","(null)","(null)","(null)","(null)","(null)"
196,20200142,"A","Kalle Grillare","kalle@mcdonalds.se","(null)","(null)","(null)","(null)","(null)"
197,20200143,"A","Nisse Hult","nisse@amv.se","(null)","(null)","(null)","(null)","(null)"
198,20200143,"A","Kalle Hult","kalle@amv.se","(null)","(null)","(null)","(null)","(null)"
199,20200143,"A","Rolle Hult","rolle@amv.se","(null)","(null)","(null)","(null)","(null)"
200,20200143,"F","Nisse Hult CUF","nisse@amv.se","(null)","(null)","(null)","(null)","(null)"
201,20200143,"F","Kalle Hult CIF","kalle@amv.se","(null)","(null)","(null)","(null)","(null)"
202,20200144,"A","Sal Monella","sal.monella@comhem.se","(null)","(null)","(null)","(null)","(null)"
203,20200004,"A","Pelle Veterinär","pelle.veterinär@telia.com","(null)","(null)","(null)","(null)","(null)"
204,20200007,"A","xpjohpechef","chef@xpjohpe.se","(null)","(null)","(null)","(null)","(null)"
205,20200007,"F","xpfacket","xpfacket@xpjohpe.se","(null)","(null)","(null)","(null)","(null)"
206,20200008,"A","Näringsministern","pagrodsky@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
208,20200012,"A","Mats","mats@mail.se","(null)","(null)","(null)","(null)","(null)"
209,20200012,"A","Olle","olle@mail.se","(null)","(null)","(null)","(null)","(null)"
210,20200013,"A","Christina Kontakt","christina.kontakt@fenja.se","(null)","(null)","(null)","(null)","(null)"
211,20200013,"A","Olle Kontakt","olle.kontakt@fenja.se","(null)","(null)","(null)","(null)","(null)"
212,20200013,"A","Pär Kontakt","per.kontakt@fenja.se","(null)","(null)","(null)","(null)","(null)"
213,20200013,"F","Bosse Fack","bo.fack@fenja.se","(null)","(null)","(null)","(null)","(null)"
214,20200018,"A","Mattias Holm","mattias.holm@swipnet.se","(null)","(null)","(null)","(null)","(null)"
215,20270015,"A","Kontakten","ais.test@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
216,20270017,"A","Pelle-Iggy Popson","pelle-iggy.popson@köping.se","(null)","(null)","(null)","(null)","(null)"
217,20270023,"A","TestTestTestTest","ais.test@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
218,20270024,"A","Testa råttstavning","ais.test@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
219,20321236,"A","Errol Svensson","errol@handel.se","(null)","(null)","(null)","(null)","(null)"
220,20500056,"A","Johan Frippe","(null)","(null)","(null)","(null)","(null)","(null)"
221,20500057,"A","John Uppmark","(null)","(null)","(null)","(null)","(null)","(null)"
222,20500065,"A","Allan Ladd","(null)","(null)","(null)","(null)","(null)","(null)"
223,20500066,"A","Valdemar Atterdag","(null)","(null)","(null)","(null)","(null)","(null)"
224,20500078,"A","Pille Repmakare","pille@hottross.se","(null)","(null)","(null)","(null)","(null)"
225,20500112,"A","Arne Jönsson","(null)","(null)","(null)","(null)","(null)","(null)"
226,20500112,"A","Jönssons Katt","(null)","(null)","(null)","(null)","(null)","(null)"
227,20500119,"A","Lucky Slevin","qq@bb.se","(null)","(null)","(null)","(null)","(null)"
228,20500119,"A","More Lucky Slevin","qq@bb.se","(null)","(null)","(null)","(null)","(null)"
229,20500119,"A","Rather More Lucky Slevin","qq@bb.se","(null)","(null)","(null)","(null)","(null)"
230,20500119,"A","Most Lucky Slevin","qq@bb.se","(null)","(null)","(null)","(null)","(null)"
231,20500119,"F","Disaster Sleven","pp@bb.se","(null)","(null)","(null)","(null)","(null)"
232,20500119,"F","More Disaster Slevin","pp@bb.se","(null)","(null)","(null)","(null)","(null)"
233,20500119,"F","Rather More Disaster Slevin","pp@bb.se","(null)","(null)","(null)","(null)","(null)"
234,20500121,"A","Roffe Ruffel","roffe.r@ams.se","(null)","(null)","(null)","(null)","(null)"
235,20500121,"A","Ville Båg","ville.bag@ams.se","(null)","(null)","(null)","(null)","(null)"
236,20500121,"F","Roffe Ruffel","roffe.r@ams.se","(null)","(null)","(null)","(null)","(null)"
237,20500121,"F","Ville Båg","ville.bag@ams.se","(null)","(null)","(null)","(null)","(null)"
238,20371937,"A","Hans Karlsson","ey@ey.se","(null)","(null)","(null)","(null)","(null)"
239,20371960,"A","Test Test Test","ais.test@ams.amv.se","(null)","(null)","(null)","(null)","(null)"
240,20371960,"F","Test","(null)","(null)","(null)","(null)","(null)","(null)"
241,20397180,"A","Gunnar Granskare","gg@rattfel.se","(null)","(null)","(null)","(null)","(null)"
242,20397180,"F","Retorik Retare","rr@rattfel.se","(null)","(null)","(null)","(null)","(null)"
243,20397216,"A","Fabian","(null)","(null)","(null)","(null)","(null)","(null)"
244,20397237,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
245,20397237,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
246,20397238,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
247,20397238,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
248,20397239,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
249,20397239,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
250,20397240,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
251,20397240,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
252,20397241,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
253,20397241,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
254,20397242,"A","Bengt B","bengt.b@ams.se","(null)","(null)","(null)","(null)","(null)"
255,20397242,"F","Kurt R","kurt.r@ams.se","(null)","(null)","(null)","(null)","(null)"
256,20428849,"A","Bror Gudmundsson","bror@gudmundsson.snut","(null)","(null)","(null)","(null)","(null)"
257,20428849,"F","Sven Gudmundsson","sven@gudmundsson.snut","(null)","(null)","(null)","(null)","(null)"
258,20453652,"A","Klas Lindfors","klas@elia.se","(null)","(null)","(null)","(null)","(null)"
259,20461858,"A","Stina Larsson","stinalarsson@ss.org","(null)","(null)","(null)","(null)","(null)"
260,20461858,"F","Nisse Persson","(null)","(null)","(null)","(null)","(null)","(null)"
261,20472687,"A","Mr J.L.B Matekoni","(null)","(null)","(null)","(null)","(null)","(null)"
262,10000527,"A","XXXXXXXXXXX","(null)","(null)","(null)","(null)","(null)","(null)"
263,20600056,"A","Nina","(null)","(null)","(null)","(null)","(null)","(null)"
264,20600057,"A","Rektor","(null)","(null)","(null)","(null)","(null)","(null)"
265,20600057,"A","Assistent","(null)","(null)","(null)","(null)","(null)","(null)"
266,20600057,"F","Lf","(null)","(null)","(null)","(null)","(null)","(null)"
267,20600057,"F","SKTF","(null)","(null)","(null)","(null)","(null)","(null)"
268,20600057,"F","SKAF","(null)","(null)","(null)","(null)","(null)","(null)"
269,20600058,"A","Fera mali","J@fe.se","(null)","(null)","(null)","(null)","(null)"
270,20600060,"A","Kontakt Person","kontakt.person@test.se","(null)","(null)","(null)","(null)","(null)"
271,20764576,"A","Sandino Arbino","(null)","(null)","(null)","(null)","(null)","(null)"
272,20764577,"A","Ola Strandberg, Personalansvarig XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX","(null)","(null)","(null)","(null)","(null)","(null)"
273,20764577,"F","SIF","(null)","(null)","(null)","(null)","(null)","(null)"
274,21000010,"A","Kurt Grus","kurtgrus@hottmail.com","(null)","(null)","(null)","(null)","(null)"
275,20213441,"A","Pelle Pettersson Föreståndare","(null)","(null)","(null)","(null)","(null)","(null)"
276,20213441,"F","Karl A Svenson Psykologförbundet","(null)","(null)","(null)","(null)","(null)","(null)"
